Industry,Deal_value,Weighted_amount,Date_of_creation,Pitch,Lead_revenue,Fund_category,Geography,Location,POC_name,Designation,Hiring_candidate_role,Lead_source,Level_of_meeting,Last_lead_update,Internal_POC,Resource,Internal_rating
Food Processing,488050.0,2952702.5,2019-09-20,Product_1,50 - 100 Million,Category 4,USA,"Wichita, KS",Kristen Meza,CEO/Chairman/President,Proofreader,Others,Level 2,2 days back,"Young,Valerie K",No,1
Education/Training,289332.0,1996390.8,2019-03-08,Product_2,500 Million - 1 Billion,Category 4,USA,"Lebanon, PA",Hannah Cook,CEO/Chairman/President,"Engineer, mining",Marketing Event,Level 2,More than a week back,"Meli,Teresa V",Not enough,3
Plumbing/HVAC,12701.0,74935.9,2020-07-23,Product_1,500 Million - 1 Billion,Category 3,USA,"Midland, MI",Rebecca Stephens,Chairman/CEO/President,Multimedia specialist,Others,Level 1,Pending,"Booker,David L",Not enough,5
Health/Accident,233736.0,1729646.4,2020-08-21,Product_2,500 Million - 1 Billion,Category 4,USA,"Tulsa, OK",Christopher Avila,CEO,Fine artist,Website,Level 3,2 days back,"Murray,Younetta",Yes,5
Education/Training,382527.0,2161277.55,2020-04-06,Product_2,50 - 100 Million,Category 1,India,Patiala,sarika,Chief Executive Officer,Charity fundraiser,Others,Level 1,Pending,"Sutton,Michelle R",We have all the requirements,2
Hospitals/Clinics,408683.0,2615571.2,2019-10-09,Product_2,50 - 100 Million,Category 4,India,Allahabad,suman bairwa,CEO/Chairman/President,Corporate treasurer,Website,Level 2,2 days back,"Cashin,Marc C",Deliverable,3
Banks,289622.0,1781175.3,2019-07-26,Product_2,100 - 500 Million,Category 3,India,Port Blair,sarita sharma,Executive Vice President,"Solicitor, Scotland",Website,Level 2,Up-to-date,"Turner,Marlon D",Cannot deliver,3
Insurance,283072.0,1643477.9418056307,2020-08-20,Product_1,100 - 500 Million,Category 4,USA,"St. Cloud, MN",William Reed,CEO/Co-Founder/Chairman,Ergonomist,Others,Level 1,Up-to-date,"Mabrey,Kevin C",Cannot deliver,1
Other Investment Firms,367873.0,2060088.8,2019-02-15,Product_2,500 Million - 1 Billion,Category 2,USA,"Syracuse, NY",Brent Roberts,Chairman/CEO/President,Manufacturing engineer,Others,Level 1,Pending,"Massiah,Gerard F",Deliverable,2
Other Biz Services,24222.0,140487.6,2019-02-15,Product_1,50 - 100 Million,Category 4,India,Vellore,minu kumari,CEO/Co-Founder/Chairman,"Physicist, medical",Website,Level 1,Pending,"Leu,Darren L",No,1
Banks,379900.0,2621310.0,2019-12-08,Product_2,500 Million - 1 Billion,Category 2,USA,"Seattle-Tacoma-Bellevue, WA",Daniel Cox,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Television floor manager,Website,Level 3,More than a week back,"Logan,Kevin N",We have all the requirements,5
Real Estate,256873.0,1605456.25,2021-01-09,Product_2,50 - 100 Million,Category 4,USA,"Boulder, CO",Eric Blackwell,CEO/Chairman/President,Field trials officer,Others,Level 1,More than 2 weeks,"Logan,Kevin N",Yes,5
Insurance,203808.0,1375704.0,2019-02-17,Product_1,100 - 500 Million,Category 4,India,Aligarh,babli,SVP/General Counsel ,"Engineer, petroleum",Marketing Event,Level 3,Up-to-date,"Bannister,Joan",We have all the requirements,2
Financial Services,288132.0,1858451.4,2019-11-06,Product_1,500 Million - 1 Billion,Category 3,India,Hospet,ku. kanchan chouan,CEO,Computer games developer,Marketing Event,Level 3,More than a week back,"Gaskins Jr,Franklin D",Cannot deliver,1
Trucking,420723.0,2629518.75,2020-04-08,Product_2,100 - 500 Million,Category 2,India,Haripur,sarika,Executive Vice President,Audiological scientist,Others,Level 3,Up-to-date,"Smith,Keenan H",We have all the requirements,5
Healthcare Facilities/Services,430115.0,2602195.75,2020-03-14,Product_2,50 - 100 Million,Category 3,USA,"Springfield, MO",Katrina Montgomery,SVP/General Counsel ,"Solicitor, Scotland",Marketing Event,Level 1,More than a week back,"Gilley,Janine",Not enough,4
Banks,404264.0,2466010.4,2020-06-07,Product_1,50 - 100 Million,Category 2,India,Raurkela,najiya,Chairman/CEO/President,Town planner,Website,Level 2,More than a week back,"Massiah,Gerard F",Cannot deliver,5
Hospitals/Clinics,170409.0,1116178.95,2020-01-09,Product_1,100 - 500 Million,Category 1,USA,"Crestview-Fort Walton Beach-Destin, FL",Kristine Pruitt,CEO,Contracting civil engineer,Website,Level 1,Following up but lead not responding,"Morsy,Omar A",Deliverable,3
Insurance,298439.0,1805555.95,2020-03-15,Product_1,50 - 100 Million,Category 4,USA,"Beaumont-Port Arthur, TX",Jessica Brown,Chief Executive Officer,Health visitor,Others,Level 2,Following up but lead not responding,"Tondeur,Keith D",We have all the requirements,2
Hospitals/Clinics,122320.0,807312.0,2020-05-10,Product_1,50 - 100 Million,Category 1,USA,"Gettysburg, PA",Miguel Gonzalez,Chief Executive Officer,Futures trader,Contact Email,Level 3,?,"Cash,Tyrone J",We have all the requirements,2
Real Estate,366843.0,2274426.6,2019-08-03,Product_2,100 - 500 Million,Category 1,USA,"Utica-Rome, NY",Lawrence Moore,CEO,Freight forwarder,Others,Level 2,5 days back,"Davis,Sharrice A",We have all the requirements,2
Insurance,451049.0,2661189.1,2020-10-10,Product_1,100 - 500 Million,Category 2,India,Mathura,anjana,Chairman/Chief Innovation Officer,Medical physicist,Contact Email,Level 2,Did not hear back after Level 1,"Irizarry,Yolanda",Not enough,4
Energy,382968.0,2297808.0,2020-11-06,Product_1,100 - 500 Million,Category 3,USA,"Sebastian-Vero Beach, FL",Amanda Fisher,Executive Vice President,Osteopath,Others,Level 2,2 days back,"Hanyok,John J",No,3
Insurance,126523.0,790768.75,2021-01-02,Product_2,50 - 100 Million,Category 1,USA,"St. George, UT",Antonio Martin,Chairman/Chief Innovation Officer,Retail banker,Marketing Event,Level 1,?,"Rocks,Michael J",Deliverable,2
Banks,52694.0,350415.1,2020-08-07,Product_2,50 - 100 Million,Category 1,USA,"Fayetteville-Springdale-Rogers, AR-MO",Jamie Short,Chairman/CEO/President,Curator,Website,Level 3,More than 2 weeks,"Clavey,Therese A",No,2
Apparel Retail,269851.0,1781016.6,2019-04-24,Product_2,100 - 500 Million,Category 1,USA,"Winston-Salem, NC",Stephanie Lindsey,Executive Vice President,Naval architect,Others,Level 2,Up-to-date,"Hanyok,John J",Deliverable,5
Food Processing,393715.0,2401661.5,2020-08-08,Product_2,500 Million - 1 Billion,Category 3,India,Barddhaman,ram bhateri devi,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Science writer,Marketing Event,Level 2,More than a week back,"Cashin,Marc C",Cannot deliver,1
Education/Training,228642.0,1371852.0,2020-07-23,Product_2,50 - 100 Million,Category 3,India,New Delhi,nazreen,Executive Vice President,Museum/gallery exhibitions officer,Website,Level 2,Following up but lead not responding,"Featherstone,Adrian R",No,3
Banks,325372.0,2082380.8,2019-06-27,Product_2,100 - 500 Million,Category 3,USA,"Oklahoma City, OK",Samantha Jacobson,CEO/Chairman/President,Land/geomatics surveyor,Marketing Event,Level 2,Did not hear back after Level 1,"Charles,Caleb",Deliverable,3
Retail,492606.0,2807854.2,2019-02-02,Product_1,100 - 500 Million,Category 2,India,Kota,mohni,Chairman/Chief Innovation Officer,Podiatrist,Contact Email,Level 1,No track,"Ryker,David",Deliverable,4
Banks,480624.0,3220180.8,2020-12-15,Product_2,500 Million - 1 Billion,Category 4,USA,"Rochester, MN",Thomas Kim,Chairman/CEO/President,Electrical engineer,Marketing Event,Level 1,2 days back,"Hebron,Artenia D",Not enough,3
Lending/Mortgage,385093.0,2272048.7,2020-10-01,Product_2,500 Million - 1 Billion,Category 3,USA,"Visalia-Porterville, CA",Matthew Bradley,Chairman/Chief Innovation Officer,Pension scheme manager,Others,Level 1,More than 2 weeks,"Dyson,William A",Cannot deliver,3
"Oil, Gas, Coal",281007.0,1700092.35,2019-01-22,Product_2,50 - 100 Million,Category 4,USA,"Monroe, LA",Manuel Parker,Vice President / GM (04-present) : VP Sales and Marketing (01-04),"Nurse, children's",Others,Level 2,5 days back,"Ross,Eric L",No,1
Banks,51074.0,291121.8,2020-01-22,Product_2,100 - 500 Million,Category 3,India,Khanapur,musarrat,CEO/Chairman/President,Public house manager,Contact Email,Level 2,Unknown,"Leu,Darren L",Cannot deliver,2
Investment Bank/Brokerage,451636.0,3184033.8,2019-07-02,Product_2,500 Million - 1 Billion,Category 3,USA,"El Centro, CA",Olivia Miller,CEO,Herpetologist,Marketing Event,Level 3,More than 2 weeks,"Rocks,Michael J",Cannot deliver,5
Software,186383.0,1118298.0,2020-09-19,Product_2,100 - 500 Million,Category 1,USA,"Utica-Rome, NY",Martin Williams,Executive Vice President,Audiological scientist,Others,Level 1,Following up but lead not responding,"Salyers,Daniel L",Cannot deliver,1
Trucking,460278.0,3060848.7,2019-09-25,Product_2,50 - 100 Million,Category 1,India,Hyderabad,gaitri devi,Executive Vice President,Radio broadcast assistant,Marketing Event,Level 2,5 days back,"Green,Candy",We have all the requirements,5
Hospitals/Clinics,71871.0,438413.1,2020-02-21,Product_2,500 Million - 1 Billion,Category 2,India,Ratlam,smt. santosh with her four children,Vice President / GM (04-present) : VP Sales and Marketing (01-04),"Designer, fashion/clothing",Marketing Event,Level 2,2 days back,"Brown,Maxine A",We have all the requirements,3
Railroads,466918.0,2964929.3,2019-08-09,Product_2,100 - 500 Million,Category 1,India,Hospet,anshika kumari,CEO/Co-Founder/Chairman,"Engineer, materials",Others,Level 3,2 days back,"Shelton,Sidney P",Deliverable,2
Financial Services,129719.0,836687.55,2020-12-21,Product_2,50 - 100 Million,Category 1,India,Nellore,priynka,CEO/President,Theme park manager,Marketing Event,Level 1,No track,"Ryker,David",Not enough,5
Banks,316910.0,1996533.0,2019-10-19,Product_1,500 Million - 1 Billion,Category 4,USA,"California-Lexington Park, MD",Elijah Young,CEO,Pensions consultant,Others,Level 1,More than 2 weeks,"Hanyok,John J",Cannot deliver,3
Investment Bank/Brokerage,155527.0,1018701.85,2020-10-04,Product_2,50 - 100 Million,Category 1,India,Dispur,chandni,Chairman/Chief Innovation Officer,"Engineer, building services",Website,Level 3,Following up but lead not responding,"Dyson,William A",Yes,1
Airlines/Air Couriers,484345.0,3051373.5,2020-09-11,Product_2,500 Million - 1 Billion,Category 4,India,Kagaznagar,injum,CEO,Manufacturing systems engineer,Contact Email,Level 2,Did not hear back after Level 1,"Brown,Maxine A",No,2
Semiconductors,389576.0,2181625.6,2019-10-16,Product_2,500 Million - 1 Billion,Category 2,India,Calicut,aafreen,Chief Executive Officer,Warehouse manager,Others,Level 1,Did not hear back after Level 1,"Featherstone,Adrian R",No,3
Education/Training,492960.0,3352128.0,2020-06-06,Product_1,100 - 500 Million,Category 4,USA,"Roanoke, VA",Samantha Guerra,CEO/President,Risk analyst,Marketing Event,Level 1,more than a month,"Sutton,Michelle R",Deliverable,5
Healthcare Facilities/Services,170335.0,1064593.75,2020-01-18,Product_1,100 - 500 Million,Category 2,USA,"Gadsden, AL",Michael Schmidt,Executive Vice President,Best boy,Others,Level 3,Following up but lead not responding,"Tondeur,Keith D",Not enough,3
Construction Services,160800.0,996960.0,2020-05-18,Product_2,50 - 100 Million,Category 3,USA,"Santa Fe, NM",Julie Anderson,Chief Executive Officer,IT trainer,Contact Email,Level 3,No track,"Leu,Darren L",No,2
Non-Profit,230276.0,1427711.2,2019-01-19,Product_1,50 - 100 Million,Category 1,India,Ramagundam,sufiya,CEO/President,Geoscientist,Others,Level 3,More than a week back,"Green,Candy",Cannot deliver,2
Associations,98398.0,614987.5,2019-09-10,Product_2,50 - 100 Million,Category 1,USA,"Palm Bay-Melbourne-Titusville, FL",Dustin Adams,SVP/General Counsel ,Community education officer,Contact Email,Level 2,?,"Hebron,Artenia D",Cannot deliver,1
Banks,19272.0,122377.2,2019-10-24,Product_1,100 - 500 Million,Category 4,India,Vadodara,priyanka,CEO/Chairman/President,Sports therapist,Contact Email,Level 3,Did not hear back after Level 1,"Ryker,David",Not enough,2
Trucking,312265.0,1842363.5,2020-07-05,Product_2,500 Million - 1 Billion,Category 4,India,Aurangabad,joyti,CEO/Co-Founder/Chairman,Artist,Others,Level 1,5 days back,"Moran,Natalie A",Yes,2
Hotels/Motels,4490.0,25368.5,2019-02-23,Product_1,50 - 100 Million,Category 3,USA,"Rome, GA",Jennifer Silva,Chief Executive Officer,Print production planner,Others,Level 2,?,"Green,Ann E",Yes,3
"Oil, Gas, Coal",239225.0,1387505.0,2019-12-26,Product_1,50 - 100 Million,Category 3,India,Davangere,smt. susheela,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Retail merchandiser,Others,Level 3,Did not hear back after Level 1,"Gaskins Jr,Franklin D",No,1
Banks,197401.0,1125185.7,2020-03-16,Product_1,100 - 500 Million,Category 2,India,Dispur,sunita with her two minor children namely sandhya,Chief Executive Officer,Publishing copy,Contact Email,Level 2,Pending,"Bannister,Joan",No,2
Technology Consulting,152747.0,1053954.3,2019-05-22,Product_1,500 Million - 1 Billion,Category 4,India,Ahmedabad,gulfsa,CEO/Chairman/President,Games developer,Marketing Event,Level 2,Following up but lead not responding,"Moran,Natalie A",Deliverable,5
Banks,301963.0,1781581.7,2021-01-07,Product_2,50 - 100 Million,Category 2,India,Mahabubnagar,rajni,CEO,Homeopath,Website,Level 2,Did not hear back after Level 1,"Davis,Sharrice A",We have all the requirements,3
Electronics,93803.0,642550.55,2019-02-25,Product_2,500 Million - 1 Billion,Category 1,India,Sangli,devkali,CEO,Acupuncturist,Contact Email,Level 3,No track,"Gould,Lisa D",We have all the requirements,4
Biotech/Healthcare,161171.0,1095962.8,2019-07-20,Product_1,50 - 100 Million,Category 1,India,Gulbarga,smt lakshmi devi  w/o manoj singh  rawat age 27 ye,CEO/Chairman/President,Counselling psychologist,Contact Email,Level 3,More than a week back,"Gould,Lisa D",Cannot deliver,5
Insurance,343055.0,1955413.5,2020-07-09,Product_1,50 - 100 Million,Category 2,India,Kollam,shrimati vipin,Chairman/Chief Innovation Officer,Hotel manager,Website,Level 2,Did not hear back after Level 1,"Meli,Teresa V",No,2
Apparel Retail,262548.0,1654052.4,2019-07-21,Product_2,500 Million - 1 Billion,Category 4,India,Bakshpur,anita,CEO,"Scientist, audiological",Contact Email,Level 2,More than 2 weeks,"McKenstry,Loretta A",Yes,2
BioTech/Drugs,148281.0,948998.4,2019-06-07,Product_2,50 - 100 Million,Category 4,USA,"Kalamazoo-Portage, MI",Devon Knapp,Vice President / GM (04-present) : VP Sales and Marketing (01-04),"Therapist, sports",Others,Level 3,more than a month,"Shelton,Sidney P",Deliverable,2
Metals/Mining,325230.0,1967641.5,2019-07-28,Product_2,50 - 100 Million,Category 4,USA,"Weirton-Steubenville, WV-OH",Christina Davis,Chairman/Chief Innovation Officer,Therapeutic radiographer,Contact Email,Level 1,More than a week back,"Green,Candy",No,1
Education/Training,22740.0,144399.0,2020-01-08,Product_2,100 - 500 Million,Category 3,USA,"Elizabethtown-Fort Knox, KY",Seth Smith,CEO,Chartered public finance accountant,Website,Level 2,More than a week back,"Himes,Maurice C",Yes,5
Biotech/Healthcare,64922.0,389532.0,2020-11-10,Product_2,50 - 100 Million,Category 2,India,Baramula,neha,SVP/General Counsel ,Amenity horticulturist,Contact Email,Level 3,No track,"Charles,Caleb",Yes,4
Insurance,118309.0,792670.3,2019-06-06,Product_1,500 Million - 1 Billion,Category 3,USA,"Texarkana, TX-AR",John Little,CEO/President,Special effects artist,Marketing Event,Level 2,Following up but lead not responding,"Carter Sr,Clifton E",Not enough,5
Property/Casualty,336762.0,1955194.85727429,2019-07-21,Product_1,50 - 100 Million,Category 3,India,Bhagalpur,vaishali,CEO/Chairman/President,"Psychotherapist, child",Marketing Event,Level 3,More than 2 weeks,"Featherstone,Adrian R",No,1
Outsourcing,197078.0,1271153.1,2020-02-26,Product_1,50 - 100 Million,Category 2,USA,"Boston-Cambridge-Newton, MA-NH",Michael Rodriguez,CEO/Chairman/President,Sports coach,Website,Level 3,more than a month,"Maine,John P",Not enough,3
Utilities,303093.0,2091341.7,2020-11-13,Product_2,100 - 500 Million,Category 1,USA,"Columbus, GA-AL",Patrick Wood,Chief Executive Officer,Barrister's clerk,Website,Level 3,Up-to-date,"Brown,Maxine A",Deliverable,1
Recreational Services,499333.0,3145797.9,2019-10-03,Product_1,50 - 100 Million,Category 2,USA,"Lebanon, PA",Melanie Owens,Executive Vice President,Charity fundraiser,Marketing Event,Level 3,Following up but lead not responding,"Meli,Teresa V",Deliverable,2
Construction/Agriculture,96327.0,559261.6002300157,2019-06-18,Product_1,500 Million - 1 Billion,Category 3,India,Krishnapuram,pooja,CEO,Toxicologist,Contact Email,Level 3,2 days back,"Himes,Maurice C",No,3
Banks,267221.0,1830463.85,2020-12-26,Product_2,500 Million - 1 Billion,Category 4,India,Pune,neha,Chairman/CEO/President,"Conservation officer, historic buildings",Website,Level 2,Pending,"Abdul-Hamid,Saud Muhamad",We have all the requirements,5
"Oil, Gas, Coal",464869.0,2698966.861184581,2019-01-25,Product_1,500 Million - 1 Billion,Category 2,India,Davangere,tina,SVP/General Counsel ,Therapeutic radiographer,Marketing Event,Level 3,More than a week back,"Robinson,John C",Yes,4
REIT,22357.0,135259.85,2021-02-09,Product_1,50 - 100 Million,Category 4,India,Patna,smt.sabita daive,CEO,Education administrator,Marketing Event,Level 1,Unknown,"Ross,Eric L",Yes,4
Apparel Retail,195871.0,1194813.1,2020-02-24,Product_2,500 Million - 1 Billion,Category 3,USA,"Kankakee, IL",Tiffany Maldonado,SVP/General Counsel ,Chief Operating Officer,Marketing Event,Level 1,Following up but lead not responding,"Green,Ann E",Yes,2
Construction Services,338803.0,1897296.8,2019-05-06,Product_2,100 - 500 Million,Category 3,India,Panipat,monika kumari,SVP/General Counsel ,"Engineer, petroleum",Contact Email,Level 1,more than a month,"Cashin,Marc C",No,1
Banks,189308.0,1325156.0,2021-02-08,Product_1,50 - 100 Million,Category 4,India,Nagercoil,tyara,Chief Executive Officer,"Optician, dispensing",Marketing Event,Level 3,more than a month,"Featherstone,Adrian R",Not enough,5
Financial Services,346158.0,2146179.6,2019-06-20,Product_2,100 - 500 Million,Category 3,India,Coimbatore,manju,SVP/General Counsel ,Geoscientist,Marketing Event,Level 2,?,"Hebron,Artenia D",Cannot deliver,4
Financial Services,80459.0,490799.9,2020-01-14,Product_1,50 - 100 Million,Category 2,India,Purnea,santo @ neelam,CEO,Print production planner,Marketing Event,Level 3,No track,"Maine,John P",Not enough,1
Real Estate,321913.0,1995860.6,2020-08-19,Product_2,500 Million - 1 Billion,Category 2,USA,"York-Hanover, PA",Alexander Chandler,CEO/President,"Therapist, nutritional",Marketing Event,Level 1,Following up but lead not responding,"Gilley,Janine",Yes,4
